lmrse_1;lmrse_2;lmrse_3;lmrse_4;x;c1;c2;cluster
-0.954439115;1.379616496;-1.521226113;-0.012462331;0.963821569;1;0.283420596;1
-0.915198426;0.338557798;0.630202222;-0.618614259;-1.234410758;0;-0.064713122;2
1.935072612;-0.871920791;-0.948806726;-0.014647111;-0.439892924;1;0.049477983;3
-0.419622109;1.737290539;0.175922166;-1.659273918;-0.895688581;0;-1.609758513;4
-0.465716289;-0.749634625;-1.151992898;0.110217826;0.094697724;0;-0.039046465;5
-0.665965231;-0.167036247;1.585297505;-0.589538933;1.065154957;1;-1.204576032;6
0.015823767;3.354059663;0.350564234;-0.991299706;0.573210191;0;1.122651353;7
0.097614082;-0.784735068;-1.334309323;-0.188853589;0.470702501;1;0.311411206;8
-1.440996508;-0.007695345;-0.06702731;-1.416117899;-1.319994883;1;-1.392555497;9
1.228300555;-0.237172103;-0.559630771;0.654011768;1.194374275;0;2.934021953;10
-0.821883771;1.190470577;-0.233557929;-0.242839623;-1.189489451;0;-0.377682575;11
1.015547437;-0.080366137;-2.451715747;-0.134038664;-1.298690659;0;-0.974898691;12
0.973486977;-0.283909661;-0.996130107;0.838282916;0.335344437;0;0.345281254;13
-0.571879648;-0.564115824;-0.156087356;1.658420775;-0.255942756;1;-0.182033396;14
-2.154635436;1.054524176;0.430936766;0.107085509;-1.034038716;1;-0.248327783;15
0.857354966;1.973757926;0.897728929;0.810070016;0.145139717;1;-0.403247804;16
0.742599333;-0.817545031;0.557549843;0.295437258;-0.099643436;1;2.440055587;17
0.011549652;0.016055119;-0.594498933;0.403756321;2.185126597;0;0.149872011;18
0.479028909;-0.677380477;1.189270953;-0.319337561;-1.866237841;0;0.457977878;19
1.316819321;1.369796133;-0.355652361;0.856190802;-0.671397407;1;-0.295512326;20
0.343174303;0.497344215;0.199626987;0.890755075;0.163650152;1;-0.587146549;21
0.309149542;-0.246159487;-0.28773334;-1.761635792;-0.519350357;1;-0.347862662;22
-0.811667203;-0.08348561;0.495885141;1.298270438;0.461361992;1;1.162240829;23
0.068688543;0.114107795;0.757523308;-0.853313095;-0.489632257;1;-0.208414372;24
-0.441251282;1.286518353;1.764409831;-1.774331023;-1.466176001;0;0.380347901;25
2.413905424;-0.447753436;1.599548391;0.752090576;-1.164234931;0;-0.041202781;26
1.335151555;0.659007784;0.035745678;2.104702281;1.007427219;0;0.829212035;27
-0.297688578;-0.29255872;-0.327767981;-0.912680397;2.087374257;1;-0.95807242;28
1.501897386;0.641847156;0.500285906;0.589054538;2.743547337;1;1.40846716;29
-0.387980079;0.661859242;0.529412287;1.216708173;-0.765464821;1;1.549253095;30
-0.64030437;1.852954357;-1.700181029;0.274699942;0.153242908;1;1.536428243;31
-0.446827731;0.033331436;2.038249235;0.588262925;1.25430385;1;1.314627207;32
0.127569546;-0.229899779;-2.198425044;0.085495592;2.705910291;1;1.371166668;33
0.147157063;0.649193121;-0.961058765;-0.686704154;-1.300384857;0;0.513505779;34
0.90353936;0.539441443;-0.973600858;0.467038746;0.371238452;0;-0.071128701;35
0.027178866;0.102920448;-0.400628016;0.47742805;0.239542133;0;0.329083078;36
0.293876473;-1.03353913;-0.030072733;0.571463879;-0.743784251;1;-0.161926905;37
0.296230813;0.959701878;-0.275238858;1.765597222;-0.101908137;0;0.339112472;38
-0.923605262;-0.386527325;-0.339669079;1.562527176;-0.888745061;1;1.785878773;39
-0.057247559;0.306413895;-1.318291639;1.518942782;0.078715732;1;0.313812013;40
0.366520223;-0.734407481;-1.322760023;1.139876721;-0.36925144;0;-0.276354961;41
-1.487494038;1.147431044;-0.766144857;0.060591117;-1.746732529;1;-0.268098164;42
-1.488393443;-0.86052178;-0.687088275;-0.168641073;1.433591581;0;-0.687339785;43
1.654371436;-1.081475393;-0.154882461;0.491572999;-0.021872736;0;-1.656135753;44
-0.773923373;1.386949354;0.637353308;1.445910714;-0.794254968;0;-0.457203773;45
0.292679974;-0.936265973;0.601335493;-0.245998244;1.634976145;0;-1.166299801;46
0.407066785;0.111658858;-2.836280435;-1.485864233;0.654540781;1;-0.838023079;47
-0.143311822;0.919483417;-0.791339119;0.290311643;-0.283917688;1;0.433821402;48
-0.041880579;1.561588774;-0.746603894;0.516100275;0.124483878;0;0.49557297;49
-0.176665825;0.524792662;1.092174223;-0.011620738;-1.614435328;0;0.335824968;50
-0.608425183;-0.206746423;-0.64966156;1.361252105;-0.855099254;0;0.710995244;51
0.698625136;1.214705419;-0.775247417;-1.1916994;0.654162703;1;0.128658828;52
1.474476836;-0.024232185;1.202909573;0.600951402;-0.261372433;1;-1.34106588;53
-0.424357147;0.724091027;-0.592834967;0.002475331;0.07729951;0;1.493458815;54
1.951839381;-0.187665053;-1.196691306;-1.087262939;-0.799148426;1;0.484909866;55
-1.545698543;0.863754804;-1.288898901;-0.525044976;-0.194789424;1;0.618980325;56
2.165483657;0.429436679;0.602838532;0.325611857;-0.381257103;1;1.09803296;57
-1.602337113;1.095869173;-1.947987051;-0.717744069;1.693802969;1;-0.000942686;58
-1.006389987;-0.753815839;0.162913404;-0.105778491;1.102027942;1;-1.102505507;59
